"Id","Label","Country"
"baltikums-bank","Baltikums Bank","Latvia"
"baltikums-bank-as","Baltikums Bank AS","Latvia"
"baltikums-bank-as-latvia-lva","Baltikums Bank AS","Latvia"
"baltikums-bank-as-riga-latvia-lva","Baltikums Bank AS","Latvia"
"baltikums-bank-latvia-lva","Baltikums Bank","Latvia"
"baltikums-bank-riga-latvia-lva","Baltikums Bank","Latvia"
"baltikums-bank-riga-lv-lva","Baltikums Bank","Latvia"
"baltikums-bank-rigalatvia-lva","Baltikums Bank","Latvia"
"baltinvestbank","Baltinvestbank","Russia"
"baltinvestbank-st-petersburg-russia-rus","Baltinvestbank","Russia"
"banc-of-america-leasing-troy-michigan-usa-usa","Banc of America Leasing","United States"
"banca-arner-sa-lugano-switzerland-che","Banca Arner S.A.","Switzerland"
"banca-de-economii","Banca De Economii","United States"
"banca-de-economii-a-moldovei","Banca De Economii A Moldovei","Moldova"
"banca-de-economii-a-moldovei-chisinau-moldova-mda","Banca De Economii A Moldovei","Moldova"
"banca-di-credito-cooperativo-di-pianfei-e-rocca-de-baldi-scrl","Banca Di Credito Cooperativo Di Pianfei E Rocca De Baldi S.C.R.L.","Italy"
"banca-nazionale-del-lavoro-florence-italy-ita","Banca Nazionale Del Lavoro","Italy"
"banca-popolare-di-milano-scarl","Banca Popolare Di Milano S.C.A.R.L.","Italy"
"banca-privada-dandorra-sa","Banca Privada Dandorra S.A.","Andorra"
"banca-sociala-sa","Banca Sociala SA","Moldova"
"bancaire-privee-switzerland-che","Bancaire Privee","Switzerland"
"bancaribe-curacao-bank-nv-curacao-cuw","Bancaribe Curacao Bank NV","Curacao"
"banco-actinver-sa-institution-de-banca-multiple-grupo-financiero","Banco Actinver SA Institution De Banca Multiple Grupo Financiero","Mexico"
"banco-amambay-s-aparaguay-pry","Banco Amambay S A,Paraguay","Paraguay"
"banco-atlantico-spain-esp","Banco Atlantico","Spain"
"banco-base-sa","Banco Base, S.A.","Mexico"
"banco-bct-sa","Banco Bct SA","Costa Rica"
"banco-bic-portugues-sa","Banco Bic Portugues S.A.","Portugal"
"banco-bilbao-vizcaya-argentaria-sa-bilbao-spain-esp","Banco Bilbao Vizcaya Argentaria SA","Spain"
"banco-comercial-e-de-investimentos","Banco Comercial E De Investimentos","Mozambique"
"banco-continental-lima-peru-per","Banco Continental","Peru"
"banco-credit-andorra-panama-sa-pan","Banco Credit Andorra","Panama"
"banco-de-comercio","Banco De Comercio","Peru"
"banco-de-comercio-lima-peru-per","Banco De Comercio","Peru"
"banco-de-credito-del-peru","Banco De Credito Del Peru","United States"
"banco-de-fomento-sarl-angola","Banco De Fomento Sarl Angola","Angola"
"banco-de-la-produccion-sa-guayaquil-ecuador-ecu","Banco De La Produccion S.A.","Ecuador"
"banco-de-la-produccion-sa-produbanco-guayaquil-ecuador-ecu","Banco De La Produccion S.A. Produbanco","Ecuador"
"banco-de-oro-unibank-inc","Banco De Oro Unibank, Inc.","Philippines"
"banco-de-sabadell-sa","Banco De Sabadell, S.A","Spain"
"banco-de-sabadell-sa-fl-us-usa","Banco De Sabadell SA","United States"
"banco-de-sabadell-sa-maimi-fl-usa","Banco De Sabadell S.A.","United States"
"banco-de-santander-international-miami-florida-usa","Banco De Santander International","United States"
"banco-de-santander-montevideo-uruguay-ury","Banco De Santander","Uruguay"
"banco-de-santander-sa","Banco De Santander S.A.","Uruguay"
"banco-del-bajio-sa-institucion","Banco Del Bajio SA Institucion","Mexico"
"banco-del-pichincha-quito-ecuador-ecu","Banco Del Pichincha","Ecuador"
"banco-espirito-santo-sa-lisbon-portugal-prt","Banco Espirito Santo S.A.","Portugal"
"banco-espirito-santo-salisbon-portugal-prt","Banco Espirito Santo S.A.(Lisbon, Portugal)","Portugal"
"banco-general-s-a","Banco General S A","Panama"
"banco-gnb-peru-sa-lima-peru-per","Banco Gnb Peru S.A.","Peru"
"banco-internacional-ecuador-ecu","Banco Internacional","Ecuador"
"banco-internacional-sa-quito-ecuador-ecu","Banco Internacional SA","Ecuador"
"banco-internacionalsa-quito-ecuador-ecu","Banco Internacionals.A.","Ecuador"
"banco-itau","Banco Itau","Uruguay"
"banco-itau-international","Banco Itau International","United States"
"banco-itau-sa","Banco Itau SA","United States"
"banco-itau-uruguay-ury","Banco Itau","Uruguay"
"banco-mercantil-del-norte-mexico-mex","Banco Mercantil Del Norte","Mexico"
"banco-mercantil-delnorte","Banco Mercantil Delnorte","Mexico"
"banco-nacional-de-mexico-sa","Banco Nacional De Mexico S.A","Mexico"
"banco-nacional-ultramarino-macau-mac","Banco Nacional Ultramarino","Macau"
"banco-pichincha-ecuador-ecu","Banco Pichincha","Ecuador"
"banco-popolare","Banco Popolare","United Kingdom"
"banco-santander","Banco Santander","Uruguay"
"banco-santander-central-hispano-international","Banco Santander Central Hispano International","United States"
"banco-santander-international","Banco Santander International","United States"
"banco-santander-mexico","Banco Santander Mexico","Mexico"
"banco-santander-peru-sa-lima-peru-per","Banco Santander Peru S.A.","Peru"
"banco-santander-sa","Banco Santander S.A.","Spain"
"banco-santander-sa-madrid-spain-esp","Banco Santander SA","Spain"
"banco-trasatlantico-sa-panama-pan","Banco Trasatlantico, S.A.","Panama"
"banco-universal-sa","Banco Universal S.A.","Panama"
"bancodel-pichincha-quito-ecuador-ecu","Bancodel Pichincha","Ecuador"
"bandn-bank","B(And)N Bank","Russia"
"banesco-sa-panama-city-panama-pan","Banesco, SA","Panama"
"banesco-sa-panama-pan","Banesco SA","Panama"
"banesco-usa-coral-gables-fl-usa","Banesco Usa","United States"
"bangkok-bank-ltd-bangkok-thailand-tha","Bangkok Bank Ltd","Thailand"
"bangkok-bank-public-company","Bangkok Bank Public Company","Taiwan"
"bangkok-bank-public-company-limited","Bangkok Bank Public Company Limited","Thailand"
"bangkok-bank-public-company-limited-bangkok-thailand-tha","Bangkok Bank Public Company Limited","Thailand"
"bangkok-bank-public-company-ltd-singapore-sgp","Bangkok Bank Public Company Ltd","Singapore"
"bank-ag-vaduz","Bank AG Vaduz","Liechtenstein"
"bank-alfalah-limited","Bank Alfalah Limited","Pakistan"
"bank-alfalah-limited-karachi-pakistan-pak","Bank Alfalah Limited","Pakistan"
"bank-america-international-new-york-united-states-usa","Bank America International","United States"
"bank-america-international-new-york-usa","Bank America International","United States"
"bank-america-n-a-new-york-usa-usa","Bank America N A","United States"
"bank-america-na-us-usa","Bank America Na","United States"
"bank-audi-sal-audi-saradar-group","Bank Audi Sal Audi Saradar Group","Lebanon"
"bank-audi-sal-beirut-lebanon-lbn","Bank Audi Sal","Lebanon"
"bank-audi-sal-lebanon-lbn","Bank Audi S.A.L","Lebanon"
"bank-aval-joint-stock-post-kiev-ukraine-ukr","Bank Aval-Joint-Stock Post","Ukraine"
"bank-basmannyy","Bank Basmannyy","Russia"
"bank-belveb-ojsc-belarus-blr","Bank Belveb OJSC","Belarus"
"bank-centercredit","Bank Centercredit","Kazakhstan"
"bank-centercredit-almaty-kazakhstan-kaz","Bank Centercredit","Kazakhstan"
"bank-chinatrust-indonesia-pt-jakarta-indonesia-idn","Bank Chinatrust Indonesia, PT","Indonesia"
"bank-cial","Bank Cial","Switzerland"
"bank-cial-basle-switzerland-che","Bank Cial","Switzerland"
"bank-cial-switzerland-basle-switzerland-che","Bank Cial","Switzerland"
"bank-cimb-niaga-tbk-jakarta-indonesia-idn","Bank CIMB Niaga Tbk","Indonesia"
"bank-danamon-indonesia-pt-jakarta-indonesia-idn","Bank Danamon Indonesia, PT","Indonesia"
"bank-dbs-indonesia-jakarta-indonesia-idn","Bank DBS Indonesia (Jakarta, Indonesia)","Indonesia"
"bank-dbs-indonesia-pt","Bank DBS Indonesia, PT","Indonesia"
"bank-for-foreign-trade-of-russia-khabarovsk-russia-rus","Bank For Foreign Trade of Russia","Russia"
"bank-for-foreign-trade-of-russia-moscow-russia-rus","Bank For Foreign Trade of Russia","Russia"
"bank-frick-and-co-aktiengesellschaft","Bank Frick And Co Aktiengesellschaft","Liechtenstein"
"bank-frick-and-co-aktiengesellschaft-balzers-liechtenstein-lie","Bank Frick And Co Aktiengesellschaft","Liechtenstein"
"bank-fund-staff-federal-credit-washington-dc-usa","Bank-Fund Staff Federal Credit","United States"
"bank-handlowy-w-warszawie-sa-warszawa-poland-pol","Bank Handlowy W Warszawie SA","Poland"
"bank-hapoalim","Bank Hapoalim","Switzerland"
"bank-hapoalim-b-m","Bank Hapoalim B M","Israel"
"bank-hapoalim-b-m-tel-aviv-israel-isr","Bank Hapoalim B M","Israel"
"bank-hapoalim-switzerland-ltd-zurich-switzerland-che","Bank Hapoalim","Switzerland"
"bank-hapoalim-tel-aviv-israel-isr","Bank Hapoalim","Israel"
"bank-internasional-indonesia","Bank Internasional Indonesia","Indonesia"
"bank-international-indonesia-indonesia-idn","Bank International Indonesia","Indonesia"
"bank-international-indonesia-jakarta-indonesia-idn","Bank International Indonesia","Indonesia"
"bank-j-safra-sarasin","Bank J Safra Sarasin","Switzerland"
"bank-j-safra-sarasin-bahamas-ltd-bahamas-bhs","Bank J Safra Sarasin Bahamas Ltd","Bahamas"
"bank-j-safra-sarasin-ltd-switzerland-che","Bank J Safra Sarasin Ltd","Switzerland"
"bank-julius-baer","Bank Julius Baer","Switzerland"
"bank-julius-baer-and-co-ag-zurich-switzerland-che","Bank Julius Baer And Co.  AG","Switzerland"
"bank-julius-baer-and-co-ltd","Bank Julius Baer And Co. Ltd.","Switzerland"
"bank-julius-baer-and-co-ltd-singapore-sgp","Bank Julius Baer And Co Ltd","Singapore"
"bank-julius-baer-and-co-ltd-zurich-switzerland-che","Bank Julius Baer And Co.  Ltd","Switzerland"
"bank-julius-baer-and-coltd","Bank Julius Baer And Co.Ltd.","Switzerland"
"bank-julius-baer-and-coltd-zurich","Bank Julius Baer And Co.Ltd Zurich","Switzerland"
"bank-julius-baer-co-ltd","Bank Julius Baer & Co Ltd","Switzerland"
"bank-julius-baer-co-ltd-switzerland-che","Bank Julius Baer & Co Ltd","Switzerland"
"bank-julius-baer-monaco-sam","Bank Julius Baer Monaco S.A.M","Monaco"
"bank-leumi-usa-usa","Bank Leumi Usa","United States"
"bank-mandiri","Bank Mandiri","Indonesia"
"bank-mandiri-perseo-jakarta-indonesia-idn","Bank Mandiri","Indonesia"
"bank-mandiri-perseo-tbk-pt-indonesia-idn","Bank Mandiri","Indonesia"
"bank-mandiri-perseo-tbk-pt-jakarta-indonesia-idn","Bank Mandiri","Indonesia"
"bank-morgan-stanley-ag-zurich-switzerland-che","Bank Morgan Stanley AG","Switzerland"
"bank-muscat-al-ahli-al-omani-sultanate-of-oman-omn","Bank Muscat Al Ahli Al Omani","Oman"
"bank-negara-indonesia","Bank Negara Indonesia","Indonesia"
"bank-negara-indonesia-ambon-indonesia-idn","Bank Negara Indonesia","Indonesia"
"bank-of-america","Bank of America","United States"
"bank-of-america-merrill-lynch-international-limited-dublin-ireland-irl","Bank of America Merrill Lynch International Limited","Ireland"
"bank-of-america-n-a","Bank of America N A","United States"
"bank-of-america-na","Bank of America, Na","United States"
"bank-of-america-na-charlotte-nc-usa","Bank of America N.A.","United States"
"bank-of-america-na-london-england-gbr","Bank of America, N.A.","United Kingdom"
"bank-of-america-na-london-gbr","Bank of America, Na","United Kingdom"
"bank-of-america-na-london-london-united-kingdom-gbr","Bank of America, N.A. London","United Kingdom"
"bank-of-america-na-new-york-ny-us-usa","Bank of America N.A.","United States"
"bank-of-america-na-new-york-ny-usa","Bank of America, N.A.","United States"
"bank-of-america-na-new-york-ny-usa-usa","Bank of America, N.A","United States"
"bank-of-america-na-new-york-usa-usa","Bank of America N.A.","United States"
"bank-of-america-na-ny-usa-usa","Bank of America N.A","United States"
"bank-of-america-na-usa-usa","Bank of America Na","United States"
"bank-of-america-new-york-ny-usa","Bank of America","United States"
"bank-of-america-nt-and-sa-london-uk-gbr","Bank of America Nt And SA","United Kingdom"
"bank-of-america-nt-and-sa-singapore-sgp","Bank of America Nt And SA","Singapore"
"bank-of-america-nyc-usa","Bank of America","United States"
"bank-of-america-us-usa","Bank of America","United States"
"bank-of-america-usa-usa","Bank of America","United States"
"bank-of-american-fork","Bank of American Fork","United States"
"bank-of-bahrain-kuwait","Bank of Bahrain Kuwait","Kuwait"
"bank-of-baku","Bank of Baku","Azerbaijan"
"bank-of-baroda","Bank of Baroda","United Arab Emirates"
"bank-of-baroda-dubai-uae-are","Bank of Baroda","United Arab Emirates"
"bank-of-baroda-hong-kong-hkg","Bank of Baroda","Hong Kong"
"bank-of-baroda-hong-kong-hong-kong-hkg","Bank of Baroda Hong Kong","Hong Kong"
"bank-of-baroda-hyderabad-india-ind","Bank of Baroda","India"
"bank-of-baroda-ras-al-khaimah-uae-are","Bank of Baroda","United Arab Emirates"
"bank-of-baroda-uae-are","Bank of Baroda","United Arab Emirates"
"bank-of-baroda-united-arab-emirates-are","Bank of Baroda","United Arab Emirates"
"bank-of-beijingco-ltd-beijing-china-chn","Bank of Beijingco. Ltd.","China"
"bank-of-beirut-and-the-arab-countries-s-a-l","Bank of Beirut And The Arab Countries S A L","Lebanon"
"bank-of-beirut-arab-beirut-lebanon-lbn","Bank of Beirut Arab","Lebanon"
"bank-of-beirut-sal-beirut-lebanon-lbn","Bank of Beirut S.A.L.","Lebanon"
"bank-of-beirut-uk-ltd-gbr","Bank of Beirut","United Kingdom"
"bank-of-bermuda","Bank of Bermuda","Bermuda"
"bank-of-butterfield-georgetown-ky-cym","Bank of Butterfield","Cayman Islands"
"bank-of-butterfield-international","Bank of Butterfield International","Cayman Islands"
"bank-of-butterfield-international-cayman-limited-georgetown-cayman-islands-cym","Bank of Butterfield International","Cayman Islands"
"bank-of-butterfield-international-georgetown-ky-cym","Bank of Butterfield International","Cayman Islands"
"bank-of-china","Bank of China,","Macau"
"bank-of-china-beijing-branch-china-chn","Bank of China, Beijing Branch","China"
"bank-of-china-beijing-china-chn","Bank of China","China"
"bank-of-china-guangdong-branch","Bank of China Guangdong Branch","China"
"bank-of-china-head-office-china-chn","Bank of China, Head Office","China"
"bank-of-china-hebei-branch","Bank of China, Hebei Branch","China"
"bank-of-china-hong-kong-limited-hong-kong-hkg","Bank of China Hong Kong Limited","Hong Kong"
"bank-of-china-hong-kong-ltd","Bank of China Hong Kong Ltd.","Hong Kong"
"bank-of-china-hong-kong-ltd-hong-kong-hkg","Bank of China Hong Kong Ltd","Hong Kong"
"bank-of-china-hongkong-ltd-hong-kong-hkg","Bank of China Hong Kong Ltd","Hong Kong"
"bank-of-china-jiangxi-china-chn","Bank of China","China"
"bank-of-china-limited-beijing-china-chn","Bank of China Limited","China"
"bank-of-china-limited-china-chn","Bank of China Limited","China"
"bank-of-china-limited-guangdong-china-chn","Bank of China Limited","China"
"bank-of-china-limited-zhejiang-china-chn","Bank of China Limited","China"
"bank-of-china-ltd-china-chn","Bank of China Ltd.","China"
"bank-of-china-ltd-guangdong-china-chn","Bank of China Ltd","China"
"bank-of-china-ltd-hong-kong-hkg","Bank of China Ltd","Hong Kong"
"bank-of-china-macau-branch-china-chn","Bank of China","China"
"bank-of-china-macau-mac","Bank of China","Macau"
"bank-of-china-manila-philippines-phl","Bank of China","Philippines"
"bank-of-china-paris-branch","Bank of China Paris Branch","France"
"bank-of-china-shanghai","Bank of China Shanghai","China"
"bank-of-china-shanghai-china-chn","Bank of China","China"
"bank-of-china-shijiu-china-chn","Bank of China","China"
"bank-of-china-sichuan-branch","Bank of China Sichuan Branch","China"
"bank-of-china-sichuan-china-chn","Bank of China, Sichuan","China"
"bank-of-china-suisse-sa-geneva-switzerland-che","Bank of China","Switzerland"
"bank-of-china-suisse-sa-switzerland-che","Bank of China","Switzerland"
"bank-of-china-urumqi-china-chn","Bank of China","China"
"bank-of-china-wuhan-hubei-prov-china-chn","Bank of China","China"
"bank-of-communications","Bank of Communications","Hong Kong"
"bank-of-communications-co-ltd","Bank of Communications Co., Ltd","China"
"bank-of-communications-co-ltd-china-chn","Bank of Communications Co., Ltd","China"
"bank-of-communications-co-ltd-hong-kong-hkg","Bank of Communications Co., Ltd","Hong Kong"
"bank-of-communications-co-ltd-shanghai-china-chn","Bank of Communications, Co. Ltd.","China"
"bank-of-communications-hong-kong","Bank of Communications-Hong Kong","Hong Kong"
"bank-of-communications-offshore-banking-unit","Bank of Communications Offshore Banking Unit","China"
